TYPE	VALUE	ERROR
MM	1.06226	0
MM	0.980392	0.0578926
MM	1.0326	0.0575054
MM	0.998894	0.05208
MM	1.00267	0.0418008
MM	1.00866	0.0352607
MM	1.00589	0.0303322
MM	1.00585	0.0265407
MM	0.995994	0.0253551
MM	0.988977	0.0237706
MM	0.990506	0.0216587
MM	0.986138	0.0202896
MM	0.985987	0.0187294
MM	0.986175	0.0173925
MM	0.989088	0.0164752
MM	0.983378	0.0164052
MM	0.983918	0.0154491
MM	0.985737	0.0146975
MM	0.985782	0.013924
MM	0.988592	0.0135084
MM	0.990628	0.0130177
MM	0.992136	0.012513
MM	0.993606	0.0120551
MM	0.992936	0.0115714
MM	0.99106	0.0112596
MM	0.990955	0.010827
MM	0.989079	0.0105873
MM	0.988656	0.0102177
MM	0.98799	0.00988702
MM	0.987856	0.00955837
MM	0.989081	0.00932816
MM	0.990118	0.0090941
MM	0.98775	0.00912156
MM	0.98994	0.00911251
MM	0.991172	0.00893495
MM	0.991558	0.00869512
MM	0.990083	0.00858434
MM	0.990577	0.00837264
MM	0.990878	0.00816337
MM	0.992105	0.00805094
MM	0.992278	0.00785643
MM	0.992282	0.00766938
MM	0.992522	0.00749479
MM	0.993491	0.00738683
MM	0.993865	0.00723211
MM	0.994179	0.0070817
MM	0.994736	0.00695291
MM	0.994885	0.00680967
MM	0.994263	0.0066991
MM	0.994708	0.00657991
MM	0.994475	0.00645503
MM	0.995301	0.00638357
MM	0.994671	0.00629413
MM	0.995537	0.00623689
MM	0.996206	0.00615927
MM	0.996387	0.00605193
MM	0.995295	0.00604351
MM	0.996398	0.00603911
MM	0.997141	0.00598234
MM	0.996606	0.00590653
MM	0.998228	0.00602822
MM	0.996842	0.00608814
MM	0.996764	0.00599201
MM	0.996815	0.0058986
MM	0.996217	0.00583804
MM	0.996227	0.00574959
MM	0.994381	0.00595274
MM	0.994588	0.00586882
MM	0.993951	0.00581821
MM	0.992195	0.00599426
MM	0.99197	0.00591406
MM	0.991883	0.00583256
MM	0.991575	0.00576079
MM	0.9931	0.00588135
MM	0.99325	0.00580484
MM	0.992574	0.00576765
MM	0.993754	0.00581221
MM	0.993042	0.00578123
MM	0.992269	0.00575943
MM	0.992013	0.00569311
MM	0.990844	0.00574167
MM	0.990379	0.00569045
MM	0.990755	0.00563434
MM	0.990917	0.00556957
MM	0.992088	0.00562588
MM	0.99209	0.00556047
MM	0.99242	0.00550632
MM	0.993416	0.00553308
MM	0.994062	0.00550854
MM	0.993776	0.00545474
MM	0.995212	0.00558043
MM	0.995992	0.0055741
MM	0.996467	0.00553436
MM	0.996517	0.00547571
MM	0.997253	0.00546726
MM	0.997581	0.00542014
MM	0.997496	0.00536493
MM	0.997946	0.00532897
MM	0.998376	0.00529245
MM	0.997939	0.00525754
IS	0.882326	0
IS	1.00093	0.0838636
IS	1.06444	0.0762546
IS	1.1566	0.0981944
IS	1.15711	0.0785568
IS	1.12596	0.071372
IS	1.10561	0.0640131
IS	1.09413	0.0570304
IS	1.11071	0.0530477
IS	1.08051	0.0556777
IS	1.05887	0.0546594
IS	1.03258	0.056071
IS	1.03308	0.05176
IS	1.03152	0.0480864
IS	1.02929	0.0449322
IS	1.01371	0.0447442
IS	1.01208	0.042142
IS	0.998119	0.0420482
IS	1.01365	0.042606
IS	1.01992	0.0409347
IS	1.01102	0.0399421
IS	1.0072	0.038308
IS	1.00512	0.0366989
IS	1.00826	0.0353035
IS	1.01119	0.0340132
IS	1.00815	0.0328412
IS	1.01734	0.0328861
IS	1.01189	0.0321598
IS	1.00274	0.0323254
IS	0.990542	0.0334719
IS	0.989889	0.0323985
IS	0.984834	0.0317781
IS	0.987744	0.0309481
IS	0.982338	0.0305064
IS	0.988866	0.0303251
IS	0.984018	0.0298677
IS	0.984029	0.0290605
IS	0.982777	0.0283227
IS	0.985724	0.0277495
IS	0.986736	0.0270742
IS	0.989389	0.0265435
IS	0.992058	0.0260453
IS	0.989431	0.0255718
IS	0.99916	0.0267774
IS	0.992907	0.0269024
IS	0.998474	0.0268874
IS	0.995466	0.026483
IS	0.991994	0.0261579
IS	0.991592	0.0256272
IS	0.992622	0.0251353
IS	0.995291	0.0247838
IS	0.993548	0.0243683
IS	0.988327	0.0244615
IS	0.985809	0.0241377
IS	0.986303	0.0237039
IS	0.983198	0.0234832
IS	0.980264	0.0232537
IS	0.980149	0.0228531
IS	0.977259	0.0226478
IS	0.978869	0.0223275
IS	0.977452	0.0220064
IS	0.976224	0.0216856
IS	0.974461	0.021413
IS	0.97271	0.0211499
IS	0.970201	0.0209727
IS	0.969723	0.0206604
IS	0.967816	0.0204399
IS	0.96725	0.0201471
IS	0.963932	0.0201265
IS	0.975396	0.0228722
IS	0.975479	0.0225502
IS	0.973393	0.0223332
IS	0.971406	0.0221155
IS	0.971735	0.0218191
IS	0.970481	0.0215641
IS	0.96871	0.021353
IS	0.969238	0.0210823
IS	0.968649	0.0208202
IS	0.966734	0.0206445
IS	0.965989	0.0203999
IS	0.969225	0.0204031
IS	0.973117	0.0205221
IS	0.975735	0.0204411
IS	0.97444	0.0202388
IS	0.975357	0.0200215
IS	0.977676	0.0199225
IS	0.981962	0.0201492
IS	0.980388	0.0199816
IS	0.978403	0.0198554
IS	0.975368	0.0198655
IS	0.97475	0.0196568
IS	0.982143	0.0207872
IS	0.986015	0.020921
IS	0.986763	0.0207118
IS	0.988276	0.0205489
IS	0.986582	0.0204045
IS	0.986825	0.0201956
IS	0.985665	0.0200228
IS	0.985239	0.0198251
IS	0.984804	0.0196316
