TEMPERATURE	U_AVE	ERROR
2	-0.462035	0.000258952
1.925	-0.477302	0.000209126
1.85	-0.493185	0.000221687
1.775	-0.510432	0.000296953
1.7	-0.529343	0.000266777
1.625	-0.547971	0.000320611
1.55	-0.568166	0.000290004
1.475	-0.590173	0.000279179
1.4	-0.612751	0.00035443
1.325	-0.637795	0.000299845
1.25	-0.663796	0.000443486
1.175	-0.691577	0.000323659
1.1	-0.720789	0.000349575
1.025	-0.751512	0.000368805
0.95	-0.783261	0.000555524
0.875	-0.814655	0.000416863
0.8	-0.848561	0.000535385
0.725	-0.880957	0.000716354
0.65	-0.91329	0.000753756
0.575	-0.944075	0.00112579
0.5	-0.976698	0.0010186
