TEMPERATURE	CV_AVE	ERROR
2	0.19732	0.00057118
1.925	0.206964	0.000418124
1.85	0.221153	0.000549806
1.775	0.233599	0.000365032
1.7	0.24892	0.000579278
1.625	0.264751	0.000554373
1.55	0.282287	0.000920832
1.475	0.300016	0.000882261
1.4	0.316413	0.000790405
1.325	0.335877	0.00103055
1.25	0.357945	0.00117508
1.175	0.377144	0.00115584
1.1	0.394487	0.00156858
1.025	0.412671	0.00180754
0.95	0.425605	0.00208736
0.875	0.440683	0.00273216
0.8	0.443761	0.00253749
0.725	0.437403	0.00350247
0.65	0.4262	0.00483263
0.575	0.411376	0.0047083
0.5	0.31102	0.00998307
