TEMPERATURE	X_AVE	ERROR
2	1.35952	0.0044951
1.925	1.46632	0.00660059
1.85	1.59873	0.00753368
1.775	1.7371	0.00522356
1.7	1.91195	0.00765477
1.625	2.10516	0.0089026
1.55	2.34958	0.00887668
1.475	2.62553	0.0150124
1.4	2.95663	0.0141675
1.325	3.41622	0.0199279
1.25	3.96464	0.0232723
1.175	4.66514	0.029565
1.1	5.50869	0.0498627
1.025	6.8678	0.0489724
0.95	8.6275	0.0763126
0.875	11.2314	0.0989461
0.8	15.1757	0.161146
0.725	21.7993	0.280129
0.65	32.2709	0.433764
0.575	51.6413	0.42545
0.5	79.2969	0.569965
